Year,Snowfall,ghog
1950,15,NOShadow
1951,13,NOShadow
1952,5,Shadow
1953,13,Shadow
1954,15,Shadow
1955,13,Shadow
1956,8,Shadow
1957,13,Shadow
1958,19,Shadow
1959,10,Shadow
1960,20,Shadow
1961,25,Shadow
1962,11,Shadow
1963,26,Shadow
1964,23,Shadow
1965,17,Shadow
1966,21,Shadow
1967,22,Shadow
1968,26,Shadow
1969,18,Shadow
1970,25,Shadow
1971,18,Shadow
1972,29,Shadow
1973,18,Shadow
1974,18,Shadow
1975,18,Shadow
1976,17,Shadow
1977,16,Shadow
1978,28,Shadow
1979,30,Shadow
1980,25,Shadow
1981,16,Shadow
1982,27,Shadow
1983,18,Shadow
1984,11,Shadow
1985,26,Shadow
1986,18,Shadow
1987,13,Shadow
1988,17,Shadow
1989,22,Shadow
1990,14,NOShadow
1991,14,NOShadow
1992,12,Shadow
1993,25,Shadow
1994,26,Shadow
1995,24,Shadow
1996,17,Shadow
1997,19.33333333,Shadow
1998,21.3287037,Shadow
1999,22.28160365,Shadow
2000,21.80965984,NOShadow
2001,20.47944171,NOShadow
2002,17,Shadow
2003,26,Shadow
2004,18,Shadow
2005,20,Shadow
2006,26,Shadow
2007,26,Shadow
2008,24,Shadow
2009,12,Shadow
2010,25,Shadow
2011,12,Shadow
2012,9,Shadow
2013,17,Shadow
2014,31,Shadow
